Index	Mass	RT	ParentCompound	ParentCompoundSmiles	GoodFilter	FilterNoisyT0	FilterNoisyT12	FilterDifferentMassDefect	FilterLikelyDrugFragment	FilterLikelyDrugMetaboliteFragment	PotentialFragments	IonSpectrum	LeadingMZ	DrugMassFlag	DrugMassDelta	MassDiff	DrugConsumedFlag	NumberOfDrugs	NumberOfIncreasedT12vsT0
4207	444.843	1.868	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(445.8434, 6204.18)(446.85, 3223.88)(483.7995, 762.57)	445.843	0	7.668	7.668	1	1	0
4284	450.888	1.753	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(451.8948, 7911.76)(452.9026, 781.07)(453.8992, 842.03)	451.895	0	13.713	13.713	1	1	0
4310	453.17	3.517	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	0	0	0	1	1		(454.1765, 18154.65)(455.1803, 4882.38)(456.1802, 1333.98)	454.176	0	15.995	15.995	1	1	0
4311	453.17	3.741	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0	[[4579],479.185,3.692]	(454.1771, 9816.18)(455.1805, 2655.1)(456.1773, 790.16)	454.177	0	15.995	15.995	1	1	0
4312	453.17	2.638	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(454.1768, 18789.99)(455.1825, 5545.7)(456.1803, 3035.95)(492.14, 862.47)(907.352, 796.1)	454.177	0	15.995	15.995	1	1	1
4313	453.174	2.613	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(454.1776, 138865.27)(455.1803, 33861.18)(456.1779, 10062.95)(492.1344, 1503.52)(493.1368, 698.2)(494.1472, 499.68)	454.178	0	15.999	16.0	1	1	0
4455	466.803	0.471	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(489.7895, 976.52)(467.8102, 8239.35)(505.765, 4481.81)(506.7726, 2433.5)(507.7659, 749.13)	467.81	0	29.628	29.628	1	1	0
4482	469.165	2.664	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(470.1721, 15770.37)(471.1756, 4306.57)(472.1766, 1972.7)	470.172	0	31.99	31.99	1	1	1
4579	479.185	3.692	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	0	0	0	1	1		(981.3659, 409.03)(480.1926, 40057.67)(481.1956, 11689.42)(482.1935, 4053.03)	480.193	0	42.01	42.011	1	1	13
4603	481.183	3.617	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	0	0	0	1	1		(482.19, 13400.46)(483.1933, 3674.26)	482.19	0	44.008	44.007	1	1	0
4615	482.091	0.611	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	0	0	0		(483.0978, 1823.48)(484.0969, 912.17)(485.1106, 1879.12)	485.111	0	44.917	44.917	1	1	1
4768	493.201	3.87	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(494.2083, 5440.52)(495.2141, 2084.1)(496.2127, 1170.11)	494.208	0	56.026	56.026	1	1	5
4783	495.18	2.9	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(496.1874, 11348.06)(497.1902, 3826.39)(498.1891, 1750.88)	496.187	0	58.005	58.005	1	1	2
4797	496.923	0.519	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	0	1	0	0		(519.9143, 1556.03)(497.9284, 8009.4)(498.9323, 1035.79)(499.9267, 1957.04)(535.8867, 2536.81)(536.8935, 395.16)	497.928	0	59.748	59.748	1	1	0
4800	497.177	2.712	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(498.1844, 6459.44)(499.1877, 2194.15)(500.1868, 1138.77)	498.184	0	60.002	60.002	1	1	1
4910	509.195	3.095	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(510.2027, 15618.44)(511.2063, 4669.53)(512.2058, 1709.61)	510.203	0	72.021	72.021	1	1	1
4985	517.141	3.405	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(518.1478, 31094.06)(519.1507, 7919.86)(520.1491, 2444.84)(521.1504, 780.76)	518.148	0	79.966	79.966	1	1	3
5076	529.247	1.587	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	0	0	0		(530.254, 29864.05)(531.2652, 5084.71)	530.254	0	92.072	92.072	1	1	1
5091	531.241	2.057	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	0	0	0	0		(532.2557, 11382.56)(533.2652, 5713.95)(534.2714, 3646.32)(570.1986, 732.35)	532.256	0	94.066	94.066	1	1	0
5106	532.75	1.842	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(533.7575, 9066.03)(534.7582, 2168.41)(535.7691, 2787.88)	533.758	0	95.575	95.575	1	1	0
5364	569.29	2.101	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	0	1	0	0	0		(570.304, 8311.87)(571.307, 4388.42)(572.3052, 2244.73)	570.304	0	132.115	132.115	1	1	0
5591	599.227	3.462	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(600.2343, 6349.79)(601.2407, 2381.84)	600.234	0	162.052	162.053	1	1	1
5736	623.83	2.951	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(624.837, 7816.9)(625.8331, 5153.84)(626.8436, 3223.64)	624.837	0	186.655	186.655	1	2	1
6000	675.404	5.415	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	0	0	1	0	0		(676.411, 8737.74)(677.4149, 4742.17)(678.4162, 1883.22)	676.411	0	238.229	238.229	1	1	3
6047	689.312	1.326	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	1	0	0	0	0	0		(690.3192, 5724.37)(691.3219, 2155.09)(692.3242, 779.69)	690.319	0	252.137	252.137	1	1	1
6491	885.845	0.426	FLUPHENAZINE	OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0	1	1	1	0	0		(924.8077, 1700.72)(886.8519, 7038.12)(887.8554, 1185.91)(888.8523, 2129.29)(889.8534, 672.4)(890.8452, 536.79)	886.852	0	448.671	448.671	1	3	1
55	115.136	0.965	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	0	0	0		(116.1432, 6387.47)(117.1468, 775.21)	116.143	0	-203.02	-203.02	1	1	0
171	136.98	0.227	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	0	1	0	0		(175.9452, 606.25)(137.9873, 19282.04)(138.9752, 5.33)(139.963, 23060.73)	139.963	0	-181.176	-181.176	1	1	1
182	138.105	4.787	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	0	0	0	0		(299.2005, 1849.85)(139.1117, 11046.37)(140.1122, 1501.8)	139.112	0	-180.051	-180.051	1	1	3
414	169.147	1.375	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	0	0	0		(170.154, 10045.97)(171.1566, 1882.89)	170.154	0	-149.009	-149.01	1	1	1
731	199.061	3.185	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	0	0	1	1		(421.1155, 805.95)(200.0685, 10262.52)(201.0724, 1542.34)	200.069	0	-119.094	-119.094	1	1	0
739	200.08	0.814	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	0	0	0		(223.0719, 1428.02)(423.1521, 1015.28)(201.0871, 19518.98)(202.0898, 2116.49)(203.0816, 67670.84)(204.0844, 9807.73)(401.1616, 2383.01)	203.082	0	-118.076	-118.076	1	1	0
943	219.107	0.923	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	0	0	0	0		(220.1141, 41550.07)(221.1188, 15656.47)(439.2203, 4621.27)	220.114	0	-99.049	-99.048	1	3	1
1199	240.173	4.765	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	0	0	0	0		(241.1802, 12908.46)(242.1832, 2206.77)	241.18	0	-77.983	-77.983	1	1	4
1390	255.989	0.697	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	1	1	0	0		(256.9965, 3922.98)(257.9842, 1.68)(258.972, 7118.07)(259.9679, 0.0)(260.9787, 0.0)	258.972	0	-62.166	-62.166	1	1	1
1400	257.103	3.166	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	0	0	1	1		(537.1934, 388.14)(258.1105, 23480.77)(259.114, 4260.54)	258.111	0	-61.052	-61.052	1	1	0
1426	259.118	3.182	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	0	0	1	1		(260.1256, 12867.57)(261.1299, 3309.68)(262.1291, 1222.01)(519.237, 2423.21)	260.126	0	-59.037	-59.037	1	1	1
1596	272.199	4.767	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0		(273.2064, 14729.53)(274.2093, 2326.93)(275.2016, 458.82)	273.206	0	-45.956	-45.956	1	1	5
1938	296.131	4.779	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0		(319.1165, 1170.13)(320.1245, 375.59)(297.1383, 7981.36)(298.142, 1641.38)	297.138	0	-22.025	-22.025	1	1	1
2010	301.226	3.334	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0		(302.2332, 18659.13)(303.2365, 3280.43)(304.2393, 479.05)	302.233	0	-16.93	-16.93	1	1	1
2037	303.241	3.333	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0		(304.2485, 18483.62)(305.2514, 3109.22)(306.2525, 385.11)	304.248	0	-14.914	-14.914	1	1	3
2277	318.156	3.165	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0	[[731],199.061,3.185][[1400],257.103,3.166][[1426],259.118,3.182]	(319.1635, 187112.28)(320.1664, 26488.73)(321.1697, 3068.17)	319.163	1	0.001	0.0	1	1	0
3431	388.708	1.55	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	1	0	0		(389.7152, 10259.64)(390.7096, 2727.19)(391.7093, 10247.95)(778.4273, 693.94)	389.715	0	70.552	70.552	1	3	0
3575	398.127	0.651	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	0	0	0		(421.111, 3916.63)(399.1345, 6272.0)(400.138, 1701.03)(401.1422, 3032.44)	399.135	0	79.972	79.972	1	1	0
4074	434.166	3.955	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	1	0	0	0	0	0		(457.154, 831.02)(435.1733, 25171.66)(436.1766, 5315.78)(437.1796, 1121.59)	435.173	0	116.011	116.011	1	1	0
4115	438.139	1.264	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	0	0	0		(439.1459, 5816.94)(440.1479, 2128.79)	439.146	0	119.983	119.983	1	1	0
4925	510.751	2.206	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	0	0	1	0	0		(511.7567, 11761.7)(512.7619, 4152.04)	511.757	0	192.596	192.596	1	1	1
5887	650.831	2.024	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	1	1	0	0		(689.7865, 958.83)(651.8385, 6266.87)(652.8318, 3257.65)(653.8291, 1037.64)	651.838	0	332.675	332.675	1	1	1
6059	693.323	1.342	FLUVOXAMINE MALEATE	COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1	0	1	0	0	0	0		(694.3316, 1784.73)(695.327, 1546.17)(696.3313, 24828.92)(732.2841, 1112.83)	696.331	0	375.168	375.168	1	1	1
80	120.057	1.025	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	0	1	1		(121.0647, 68556.29)(122.0683, 5609.38)(241.1204, 6305.36)	121.065	0	-167.095	-167.095	1	1	0
135	131.072	1.165	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	0	0	0		(132.0794, 9168.72)(133.083, 1291.77)(134.0686, 784.97)	132.079	0	-156.08	-156.08	1	1	1
278	151.012	0.661	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	0	0	0		(152.0183, 22450.01)(153.0224, 1583.56)(303.0375, 1402.54)	152.018	0	-136.14	-136.14	1	1	0
815	207.09	3.305	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0		(230.08, 1414.15)(208.0973, 40376.35)(209.099, 4012.12)	208.097	0	-80.062	-80.062	1	1	0
864	212.083	1.124	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[80],120.057,1.025][[1558],269.149,1.088]	(213.09, 16822.98)(214.093, 2945.38)	213.09	0	-75.069	-75.069	1	1	1
1072	230.094	1.116	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[80],120.057,1.025][[1558],269.149,1.088]	(253.0847, 1704.41)(231.1015, 15554.75)(232.1011, 3572.36)(233.0961, 4491.83)	231.101	0	-57.058	-57.058	1	1	2
1553	269.134	1.095	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	0	0	1	1		(270.1395, 32945.83)(271.1471, 8449.94)	270.139	0	-18.018	-18.017	1	1	1
1555	269.143	1.115	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[80],120.057,1.025][[1558],269.149,1.088]	(561.2801, 4405.48)(562.2768, 2643.7)(563.2645, 6625.59)(270.1499, 48361.59)(271.161, 18359.12)	270.15	0	-18.009	-18.011	1	1	1
1558	269.149	1.088	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	0	0	1	1		(577.2556, 7142.02)(561.2702, 2875.65)(562.2652, 249.69)(308.1151, 1956.0)(270.1541, 18295.97)(271.1633, 5410.1)	270.154	0	-18.003	-18.003	1	1	0
1559	269.149	0.743	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	0	0	0		(292.1366, 1883.11)(270.1554, 6638.51)(271.1475, 2252.25)(272.1541, 1158.06)	270.155	0	-18.003	-18.003	1	1	2
1777	285.136	1.194	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0		(308.1249, 1053.85)(286.1429, 24181.75)(287.1478, 4795.89)	286.143	0	-2.017	-2.015	1	1	3
1800	287.142	1.129	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[1553],269.134,1.095][[1558],269.149,1.088]	(288.148, 32600.65)(289.1528, 10956.83)	288.148	0	-0.01	-0.008	1	2	1
1801	287.148	1.049	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[80],120.057,1.025][[1558],269.149,1.088]	(575.3071, 6693.57)(597.2875, 4570.27)(598.2878, 2780.77)(599.2683, 2700.7)(288.1599, 1636917.4)(289.1633, 267146.47)(290.1686, 53836.2)(291.1646, 6410.94)	288.16	0	-0.004	-0.004	1	1	0
1802	287.152	1.001	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	1	0	0	0	0	0	[[80],120.057,1.025][[1553],269.134,1.095][[1558],269.149,1.088]	(575.3023, 5915.71)(597.2948, 1468.1)(326.1166, 4266.64)(288.1594, 1201762.0)(289.1628, 205659.81)(290.167, 22286.65)	288.159	1	0.0	0.0	1	1	0
5046	525.264	3.9	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	0	0	0		(526.2713, 8655.41)(527.276, 2603.39)	526.271	0	238.112	238.112	1	1	0
5073	528.868	0.382	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	0	1	0	0		(551.8614, 7952.68)(552.8757, 1970.05)(529.8809, 1031.2)(567.8272, 9350.16)	567.827	0	241.716	241.716	1	1	0
5257	552.819	2.296	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	1	1	1	0	0		(553.8266, 6806.33)(554.8266, 1831.11)(555.8103, 976.21)	553.827	0	265.666	265.666	1	1	1
6001	676.249	1.256	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	1	0	0	0		(677.2555, 8562.46)(678.2591, 3111.08)(679.2736, 1355.07)	677.255	0	389.097	389.097	1	1	0
6127	715.358	2.646	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	0	1	0	0		(716.3622, 3460.34)(717.3597, 1899.96)(718.3599, 79447.18)(754.3115, 778.15)	718.36	0	428.205	428.205	1	3	0
6144	719.341	2.981	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	1	0	0	0		(720.3482, 8550.53)(721.358, 2326.82)(722.3672, 2756.8)	720.348	0	432.189	432.189	1	1	0
6571	991.989	2.748	GALANTAMINE	COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	0	0	0	1	0	0		(992.9951, 5238.11)(993.9981, 915.49)(994.9915, 435.14)	992.995	0	704.836	704.836	1	1	0
26	109.001	0.303	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	0	0	0		(110.0089, 147402.33)(111.0101, 21960.13)	110.009	0	-214.129	-214.129	1	2	0
104	126.116	3.897	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(127.1231, 6609.8)(128.1261, 639.19)	127.123	0	-197.015	-197.015	1	1	1
305	155.97	0.685	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	0	1	0	0		(334.9227, 1227.35)(156.978, 18628.21)(157.974, 2898.31)	156.978	0	-167.161	-167.161	1	1	0
351	161.115	0.564	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	1	0	0	0	0	0		(162.1225, 5928.45)(163.1271, 1043.82)	162.123	0	-162.016	-162.016	1	1	0
615	186.105	3.324	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	1	0	0	0		(187.1122, 10206.28)(188.1167, 1877.73)	187.112	0	-137.025	-137.025	1	1	1
754	201.047	3.948	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(202.0542, 33456.56)(203.0537, 2798.35)(204.0533, 955.99)	202.054	0	-122.083	-122.084	1	1	0
755	201.053	3.902	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(202.0601, 50593.05)(203.0597, 3414.41)(204.0559, 1306.57)	202.06	0	-122.078	-122.078	1	1	1
932	218.127	0.735	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	0	0	0		(241.1141, 2885.7)(219.1343, 696175.56)(220.1374, 62947.88)(221.137, 10428.09)(222.147, 1194.65)(257.0895, 1675.69)(475.217, 1659.8)	219.134	0	-105.003	-105.003	1	1	2
1297	248.076	1.313	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	1	0	0	0	0	0		(249.0856, 3355.74)(497.1572, 8031.91)(498.1645, 3817.04)(499.1711, 1436.95)	497.157	0	-75.054	-75.054	1	1	0
1387	255.892	0.464	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	1	0	0		(278.8806, 8009.98)(534.7707, 1321.59)(256.899, 1047.22)(294.8548, 17954.56)(295.8453, 10.11)(296.8359, 2209.7)(297.8233, 10.11)(298.8106, 0.0)(550.745, 4023.33)(512.7883, 1735.64)	294.855	0	-67.239	-67.239	1	1	0
1577	271.122	2.464	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	0	0	0		(272.1298, 5267.86)(273.1359, 476.75)(274.1319, 568.06)	272.13	0	-52.008	-52.008	1	1	1
1744	283.059	0.51	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	1	0	0	0		(284.064, 1293752.8)(285.0675, 120330.38)(286.063, 51686.69)(322.0207, 3302.39)(323.027, 1139.71)(605.0907, 480.48)(567.1348, 1740.03)(568.1508, 857.43)	284.064	0	-40.072	-40.072	1	1	0
1937	296.109	1.862	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	1	0	0	0		(297.1164, 11226.5)(298.116, 1812.13)(299.1161, 2073.79)	297.116	0	-27.021	-27.022	1	1	0
2331	321.115	3.879	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	1	0	0	0	0	0	[[104],126.116,3.897][[754],201.047,3.948][[755],201.053,3.902][[3111],368.183,3.963][[3112],368.188,3.966][[3358],385.101,3.912][[3697],407.077,3.958][[3698],407.082,3.903][[3910],423.055,3.961][[4720],489.613,3.954][[5475],582.380,3.950]	(344.1046, 717.96)(322.1222, 5869.52)(323.1255, 2897.37)	322.122	0	-2.015	-2.015	1	1	0
2373	323.131	3.938	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	1	0	0	0	0	0	[[104],126.116,3.897][[754],201.047,3.948][[755],201.053,3.902][[3111],368.183,3.963][[3112],368.188,3.966][[3358],385.101,3.912][[3470],391.167,3.987][[3697],407.077,3.958][[3698],407.082,3.903][[3910],423.055,3.961][[4720],489.613,3.954][[5475],582.380,3.950]	(346.1203, 497331.28)(347.1228, 80094.2)(348.1192, 22652.64)(349.1194, 3961.86)(350.1122, 873.9)(669.2482, 25374.36)(670.2512, 8926.36)(671.2484, 3896.2)(672.2507, 1022.78)(324.1378, 124019.6)(325.1404, 21094.11)(326.1366, 7425.16)(327.1409, 1488.18)(362.0932, 17790.1)(363.0957, 3140.13)(364.0921, 2392.1)(365.1032, 342.1)(647.2675, 3430.78)(648.2721, 1538.85)(649.2705, 886.56)	346.12	1	0.001	0.0	1	1	0
2488	329.167	2.376	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	0	0	0		(352.1548, 7914.47)(681.323, 245292.1)(682.3267, 88590.84)(683.3308, 23281.84)(684.3517, 8615.68)(330.1746, 1039721.4)(331.1776, 89270.24)(332.1704, 3775.25)(697.2949, 31024.23)(698.3032, 12592.96)(699.3027, 5454.98)(368.126, 2444.06)(659.3405, 4112460.2)(660.3437, 1397562.9)(661.3471, 304627.75)(662.3486, 54971.09)(663.3447, 8804.67)	659.341	0	6.037	6.037	1	1	1
2921	354.852	1.363	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	1	0	0		(355.8594, 7847.57)(356.8621, 1980.63)(357.8693, 931.28)	355.859	0	31.722	31.722	1	1	0
3111	368.183	3.963	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(369.1899, 9896.89)(370.1941, 3085.72)	369.19	0	45.052	45.052	1	1	0
3112	368.188	3.966	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(369.1953, 13810.49)(370.1977, 3805.14)	369.195	0	45.058	45.057	1	1	0
3146	370.283	4.904	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	0	0	0		(371.2904, 76573.06)(372.2932, 16622.72)(373.292, 2963.93)	371.29	0	47.153	47.153	1	1	5
3358	385.101	3.912	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	0	0	0	1	1		(408.0903, 18792.89)(409.0926, 3890.05)(410.0899, 1252.18)(386.1131, 860.17)(424.0631, 3256.2)(425.0665, 901.74)(426.0623, 1919.85)(427.0651, 534.96)(428.0573, 862.05)	408.09	0	61.97	61.97	1	1	0
3378	385.661	3.034	GLICLAZIDE	Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1	0	1	1	1	0	0		(408.6504, 598.4)(386.6688, 14123.73)(387.6691, 7852.81)(388.6688, 2704.93)(389.6683, 881.98)	386.669	0	62.53	62.53	1	1	1
